id,attr_time,attr_lat,attr_lng
1,1436898161000,49.44986029,8.89835683
2,1436898199000,49.44986824,8.89852151
3,1436898231000,49.44980107,8.89851384
4,1436898251000,49.44998491,8.89830587
5,1436898257000,49.44990649,8.89829385
6,1436898271000,49.44981367,8.89835253
7,1436898275000,49.44976874,8.89833887
8,1436898290000,49.44960101,8.89847886
9,1436898296000,49.44957827,8.89838385
10,1436898306000,49.44955947,8.8982895
11,1436898317000,49.4494383,8.89825597
12,1436898328000,49.44917879,8.89843315
13,1436898339000,49.4490419,8.89845438
14,1436898350000,49.44902927,8.89831774
15,1436898371000,49.44879859,8.89826912
16,1436898382000,49.44879181,8.89829103
17,1436898395000,49.44874951,8.89844707
18,1436898404000,49.44864913,8.89846098
19,1436898418000,49.44850158,8.8986201
20,1436898424000,49.44846036,8.89866711
21,1436898435000,49.44875493,8.89866106
22,1436898446000,49.44874982,8.89845384
23,1436898460000,49.44903907,8.89875357
24,1436898468000,49.44903159,8.89889055
25,1436898478000,49.44903059,8.89900717
26,1436898488000,49.44907077,8.89882994
27,1436898500000,49.44898877,8.89920582
28,1436898510000,49.44898158,8.89947147
29,1436898518000,49.44897469,8.89949214
30,1436898529000,49.44901181,8.89924933
31,1436898539000,49.44897333,8.89919797
32,1436898550000,49.44898492,8.89913423
33,1436898562000,49.44902242,8.89930833
34,1436898574000,49.44901463,8.89940166
35,1436898584000,49.448944,8.89972641
36,1436898602000,49.44880991,8.89956571
37,1436898606000,49.44878692,8.89968641
38,1436898623000,49.44870827,8.90001048
39,1436898627000,49.44873367,8.90010723
