id,attr_time,attr_lat,attr_lng
1,1436898164000,49.44987087,8.89873327
2,1436898191000,49.44986817,8.89873928
3,1436898196000,49.44986315,8.89874831
4,1436898207000,49.44986063,8.898753
5,1436898252000,49.4498546,8.89873344
6,1436898267000,49.44985092,8.89872871
7,1436898273000,49.44985576,8.89870131
8,1436898284000,49.44985753,8.89867164
9,1436898294000,49.44954972,8.8985803
10,1436898305000,49.4494079,8.89851502
11,1436898315000,49.44936383,8.89833688
12,1436898326000,49.44950601,8.89856428
13,1436898337000,49.4492149,8.89822421
14,1436898348000,49.44923428,8.89837116
15,1436898360000,49.44920009,8.89842358
16,1436898378000,49.44915429,8.89845108
17,1436898401000,49.44891478,8.89820513
18,1436898406000,49.44885745,8.89832877
19,1436898416000,49.44871727,8.89838946
20,1436898429000,49.44869827,8.89852775
21,1436898437000,49.448822,8.89866142
22,1436898448000,49.44888528,8.898765
23,1436898461000,49.44901519,8.89913802
24,1436898471000,49.44913906,8.89913539
25,1436898481000,49.44915848,8.89914973
26,1436898497000,49.44906419,8.89905178
27,1436898504000,49.44897501,8.89906852
28,1436898514000,49.44897597,8.89898805
29,1436898523000,49.44898362,8.8990249
30,1436898533000,49.44897851,8.89912666
31,1436898545000,49.44897377,8.8995209
32,1436898556000,49.44895651,8.89969432
33,1436898566000,49.44889386,8.89945761
34,1436898590000,49.44875281,8.89940911
35,1436898595000,49.44887551,8.89949066
36,1436898606000,49.44896786,8.89972019
37,1436898620000,49.44895725,8.89986131
38,1436898628000,49.44859406,8.89927231
