id,attr_time,attr_db
1,1436462332960,36.0986988664037
2,1436462333648,28.7401675367353
3,1436462334393,32.4604698369736
4,1436462335114,64.2438467760799
5,1436462335850,45.7996199593049
6,1436462336580,59.0820829089802
7,1436462337307,52.6156448114239
8,1436462338042,70.1416306197309
9,1436462338741,69.6321366113025
10,1436462339412,55.6389856204606
11,1436462340183,59.6882680745416
12,1436462340949,67.2282939643639
13,1436462341688,52.5093951094692
14,1436462342415,67.246371468115
15,1436462343167,67.824842314095
16,1436462343939,49.3626401468976
17,1436462344703,72.7498296227371
18,1436462345482,51.8196319143519
19,1436462346215,45.6573471318968
20,1436462346960,76.7970728021247
21,1436462347696,63.9598318477653
22,1436462348464,62.2566304756971
23,1436462349051,62.9250586697298
24,1436462349774,62.6198177868089
25,1436462350516,62.6130877839606
26,1436462351227,57.6518789320275
27,1436462351968,54.0632739849016
28,1436462352668,56.953150505023
29,1436462353310,52.8038465848966
30,1436462353965,57.8550310914712
31,1436462354668,44.2334956332758
32,1436462355482,69.7930717146651
33,1436462356301,66.8600274026396
34,1436462357018,45.9957948952387
35,1436462357743,59.2325597261028
36,1436462358467,47.6825324073011
37,1436462359182,58.0447850838851
38,1436462359906,64.3619739621216
39,1436462360648,57.295715821223
40,1436462361367,65.8137131842471
41,1436462362086,56.0668625235732
42,1436462362804,59.9002249034752
43,1436462363515,55.6068498027146
44,1436462364201,59.8312664044787
45,1436462364941,66.8053587030458
46,1436462365666,46.5062101329589
47,1436462366378,66.6721970669274
48,1436462367115,64.3425779305557
49,1436462367876,70.3280364158468
50,1436462368574,59.788100392767
51,1436462369312,64.7941077572661
52,1436462370023,55.0433809944499
53,1436462370615,44.5328305506337
54,1436462371280,63.7995576607263
55,1436462371989,48.2595696775965
56,1436462372733,54.3711220372147
57,1436462373457,59.7603370643195
58,1436462374185,74.0667394758033
59,1436462374900,64.4725897957749
60,1436462375616,69.2225936690977
61,1436462376333,63.0475773485551
62,1436462377054,44.9025639077418
63,1436462377815,46.51305374511
64,1436462378585,52.819139750136
65,1436462379324,61.9790578543161
66,1436462380068,68.0659420806414
67,1436462380793,62.5381080357874
68,1436462381510,65.0506698197383
69,1436462382252,61.7116922258544
70,1436462382978,66.4563576786661
71,1436462383728,62.0337718100906
72,1436462384479,59.1000701455
73,1436462385156,59.531053174454
74,1436462385888,70.8437132719024
75,1436462386610,54.9963739192363
76,1436462387332,57.1561747125705
77,1436462388056,52.1811190231921
78,1436462388784,67.2702203743348
79,1436462389418,62.3776312041403
80,1436462390120,71.5916483563863
81,1436462390832,49.7686524542419
82,1436462391536,56.2426381446171
83,1436462392252,69.181063688995
84,1436462392960,66.3868438946863
85,1436462393699,60.4422949999999
86,1436462394435,71.4290832266107
87,1436462395142,67.1568276889734
88,1436462395820,60.2093116071423
89,1436462396540,61.7902051452398
90,1436462397266,53.3668090543488
91,1436462397983,70.6324056972445
92,1436462398735,60.281599243665
93,1436462399463,61.8068988936651
94,1436462400198,68.2338984231119
95,1436462400915,44.436749297751
96,1436462401646,55.7572354531329
97,1436462402372,61.5030430888458
98,1436462403124,67.9512508753829
99,1436462403844,64.3979544195497
100,1436462404492,59.0378986058393
101,1436462405169,62.0147138803634
102,1436462405909,49.0102591440424
103,1436462406639,53.8526610741376
104,1436462407373,60.4582091482898
105,1436462408100,66.9524610839151
106,1436462408868,60.2519730922169
107,1436462409554,58.8133545088114
108,1436462410214,59.4993137077822
