id,attr_time,attr_x,attr_y,attr_z
1,1436462332538,-17.848,-40.116,-3.376
2,1436462332558,-17.848,-40.116,-3.376
3,1436462332579,-17.848,-40.116,-3.376
4,1436462332599,-17.848,-40.116,-3.376
5,1436462332619,-17.848,-40.116,-3.376
6,1436462332639,-17.848,-40.116,-3.376
7,1436462332658,-17.848,-40.116,-3.062
8,1436462332679,-17.848,-40.116,-3.062
9,1436462332698,-17.848,-40.116,-3.062
10,1436462332718,-17.848,-40.116,-3.062
11,1436462332740,-17.848,-40.116,-3.062
12,1436462332761,-17.848,-40.116,-3.062
13,1436462332778,-17.848,-40.116,-3.062
14,1436462332799,-17.848,-40.116,-3.062
15,1436462332818,-17.848,-40.116,-3.062
16,1436462332840,-17.848,-40.116,-3.062
17,1436462332858,-17.848,-40.116,-3.062
18,1436462332879,-17.848,-40.116,-3.062
19,1436462332899,-17.848,-40.116,-3.062
20,1436462332919,-17.848,-40.116,-3.062
21,1436462332939,-17.848,-40.116,-3.062
22,1436462332959,-17.848,-40.116,-3.062
23,1436462332978,-17.848,-40.116,-3.062
24,1436462332998,-17.848,-40.116,-3.062
25,1436462333019,-17.848,-40.116,-3.062
26,1436462333040,-17.848,-40.116,-3.062
27,1436462333059,-17.848,-40.116,-3.062
28,1436462333079,-17.848,-40.116,-3.062
29,1436462333099,-17.848,-40.116,-3.062
30,1436462333119,-17.848,-40.116,-3.062
31,1436462333139,-17.848,-40.116,-3.062
32,1436462333159,-17.848,-40.116,-3.062
33,1436462333179,-17.848,-40.116,-3.062
34,1436462333199,-17.848,-40.116,-3.062
35,1436462333219,-17.848,-40.116,-3.062
36,1436462333242,-17.848,-40.116,-3.062
37,1436462333260,-17.848,-40.116,-3.062
38,1436462333283,-17.848,-40.116,-3.062
39,1436462333300,-17.848,-40.116,-3.062
40,1436462333324,-17.848,-40.116,-3.062
41,1436462333343,-17.848,-40.116,-3.062
42,1436462333360,-17.848,-40.116,-3.062
43,1436462333415,-17.848,-40.116,-3.062
44,1436462333416,-17.848,-40.116,-3.062
45,1436462333420,-17.848,-40.116,-3.062
46,1436462333442,-17.848,-40.116,-3.062
47,1436462333465,-17.848,-40.116,-3.363
48,1436462333480,-17.848,-40.116,-3.363
49,1436462333499,-17.848,-40.116,-3.363
50,1436462333519,-17.848,-40.116,-3.363
51,1436462333542,-17.848,-40.116,-3.363
52,1436462333559,-17.848,-40.116,-3.363
53,1436462333580,-17.848,-40.116,-3.363
54,1436462333604,-17.848,-40.116,-3.363
55,1436462333622,-17.848,-40.116,-3.363
56,1436462333644,-17.848,-40.116,-3.363
57,1436462333664,-17.848,-40.116,-3.363
58,1436462333684,-17.848,-40.116,-3.363
59,1436462333703,-17.848,-40.116,-3.363
60,1436462333724,-17.848,-40.116,-3.363
61,1436462333744,-17.848,-40.116,-3.363
62,1436462333761,-17.848,-40.116,-3.686
63,1436462333783,-17.848,-40.116,-3.686
64,1436462333801,-17.848,-40.116,-3.686
65,1436462333821,-17.848,-40.116,-3.686
66,1436462333843,-17.848,-40.116,-3.686
67,1436462333860,-17.848,-40.116,-3.686
68,1436462333880,-17.848,-40.116,-3.686
69,1436462333900,-17.848,-40.116,-3.686
70,1436462333926,-17.848,-40.116,-3.686
71,1436462333947,-17.848,-40.116,-3.686
72,1436462333967,-17.848,-40.116,-3.686
73,1436462333983,-17.848,-40.116,-3.686
74,1436462334001,-17.848,-40.116,-3.686
75,1436462334020,-17.848,-40.116,-3.686
76,1436462334041,-17.848,-40.116,-3.686
77,1436462334061,-17.848,-40.116,-3.686
78,1436462334086,-17.848,-40.116,-3.686
79,1436462334154,-17.848,-40.116,-3.686
80,1436462334155,-17.848,-40.116,-3.686
81,1436462334156,-17.848,-40.116,-3.686
82,1436462334166,-17.848,-40.116,-3.686
83,1436462334186,-17.848,-40.116,-3.686
