id,attr_time,attr_lat,attr_lng
1,1436179589000,49.44875888,8.9001876
2,1436179595000,49.44875816,8.90017868
3,1436179605000,49.44875808,8.90017755
4,1436179623000,49.44875549,8.9001284
5,1436179635000,49.44875615,8.90013087
6,1436179646000,49.44875591,8.9001241
7,1436179660000,49.44875472,8.90008975
8,1436179666000,49.44875564,8.90009422
9,1436179677000,49.44875566,8.90009347
10,1436179686000,49.44875674,8.90001881
11,1436179696000,49.44875727,8.90001533
12,1436179707000,49.44875994,8.89998445
13,1436179717000,49.44903059,8.89962282
14,1436179727000,49.44892696,8.89936032
15,1436179739000,49.44894034,8.89908894
16,1436179749000,49.44895747,8.89897288
17,1436179758000,49.44894746,8.89895948
18,1436179768000,49.44897369,8.89880567
19,1436179778000,49.44905408,8.89892907
20,1436179790000,49.44904807,8.89887228
21,1436179797000,49.4488308,8.89892365
22,1436179808000,49.44878788,8.89855156
23,1436179818000,49.44881848,8.89853027
24,1436179830000,49.44860981,8.89851054
25,1436179840000,49.44861888,8.89842375
26,1436179852000,49.44867395,8.89846277
27,1436179863000,49.4486751,8.89845396
28,1436179880000,49.44867611,8.89844341
29,1436179885000,49.44867613,8.8984434
30,1436179898000,49.44874896,8.89844311
31,1436179907000,49.4487485,8.89841548
32,1436179915000,49.44875304,8.89843159
33,1436179928000,49.44878009,8.89843458
34,1436179935000,49.44889933,8.89838423
35,1436179959000,49.44928704,8.89837665
36,1436179969000,49.44948072,8.8983603
37,1436179979000,49.44946813,8.89835371
38,1436179989000,49.44955095,8.89837054
39,1436180000000,49.44982769,8.89840036
40,1436180011000,49.44979264,8.89856273
41,1436180020000,49.44974713,8.89849068
42,1436180044000,49.44982699,8.89826845
43,1436180078000,49.44966185,8.89836401
44,1436180101000,49.44990962,8.89851098
45,1436180104000,49.4499195,8.89849159
46,1436180117000,49.44992486,8.89847666
47,1436180162000,49.44992873,8.89846194
